# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 1.737800828749369139e+19 3.112025095295054555e-01 -3.042963387968986577e-01 9.003092447916666297e-01 7.981591088313992957e-04 1.000000000000000000e+00
1.000000000000000000e+00 1.380384264602886554e+19 -6.248547816463126958e-01 4.815016388784444379e-01 -6.145833333333332593e-01 3.070034613477854585e-03 2.000000000000000000e+00
1.400000000000000000e+01 2.258769757263128064e+18 3.957280419079828859e-01 -1.665608060843451477e-01 -9.031372070312500000e-01 5.453900258690414643e-02 0.000000000000000000e+00
1.000000000000000000e+00 6.025595860743593165e+19 -8.024822500943248338e-01 4.877070593948273358e-01 -3.437500000000000000e-01 1.578390189384225481e-17 2.000000000000000000e+00
1.000000000000000000e+00 4.570881896148751974e+19 -7.953301220749674494e-01 4.635322063192774955e-01 -3.906250000000000000e-01 5.330433231177307701e-14 2.000000000000000000e+00
1.000000000000000000e+00 9.549925860214369485e+19 -7.957394155175202544e-01 4.836091145205916875e-01 -3.645833333333333148e-01 5.621728643585449221e-33 2.000000000000000000e+00
1.000000000000000000e+00 4.168693834703363277e+19 -8.165029877690787030e-01 4.559482900356025548e-01 -3.541666666666666297e-01 1.098029254781915871e-10 2.000000000000000000e+00
1.000000000000000000e+00 1.995262314968882790e+19 -3.270706372708978571e-01 4.940388716153792069e-03 -9.449869791666666297e-01 5.304585131703249551e-04 0.000000000000000000e+00
1.400000000000000000e+01 1.562686874249680128e+18 -5.489735733596957656e-01 -7.595104326800976580e-01 -3.489583333333333148e-01 5.586896908699594266e-02 1.000000000000000000e+00
1.000000000000000000e+00 5.248074602497712128e+19 -7.991675223998357946e-01 4.856925399504610219e-01 -3.541666666666666297e-01 3.560440533194646212e-14 2.000000000000000000e+00
1.000000000000000000e+00 2.089296130854040781e+19 -3.970918990313712649e-01 8.273428975840671495e-02 -9.140421549479166297e-01 1.328433505821008409e-04 0.000000000000000000e+00
1.000000000000000000e+00 5.495408738576225894e+19 -8.330930872374132656e-01 4.452975324120219125e-01 -3.281250000000000000e-01 2.602837439677820347e-14 2.000000000000000000e+00
1.000000000000000000e+00 1.148153621496879350e+20 -5.860630739720807947e-01 5.233662328931446700e-02 -8.085734049479167407e-01 5.313827227538528599e-25 0.000000000000000000e+00
1.000000000000000000e+00 6.309573444801943962e+19 -8.231634919087704727e-01 5.072184659353223823e-01 -2.552083333333333148e-01 1.156889255779804923e-21 2.000000000000000000e+00
4.000000000000000000e+00 4.344502071873422848e+18 -4.173074999172545763e-01 4.374510004013278386e-01 -7.965494791666667407e-01 2.082043988406138968e-02 2.000000000000000000e+00
1.000000000000000000e+00 7.585775750291819725e+19 -8.489540030156387251e-01 3.825651497709617876e-01 -3.645833333333333148e-01 1.586310165210384877e-23 4.000000000000000000e+00
1.000000000000000000e+00 2.398832919019484774e+19 -7.165776910203336403e-01 4.916275209232996990e-01 -4.947916666666666297e-01 2.336052285752828980e-05 2.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000164e+20 1.111428246403809300e-01 -2.747943039655559860e-01 9.550577799479166297e-01 6.513243717825158070e-21 1.000000000000000000e+00
3.000000000000000000e+00 2.903211966520277504e+18 -5.635584275821320377e-01 3.667220862852678676e-01 -7.402140299479167407e-01 4.096165783830046925e-02 2.000000000000000000e+00
1.000000000000000000e+00 7.244359600749890765e+19 1.018043339719010010e-01 -2.652093571686356399e-01 9.588012695312500000e-01 8.006843190847430751e-19 1.000000000000000000e+00
1.000000000000000000e+00 7.244359600749890765e+19 -7.980450109895105282e-01 4.716981666646078986e-01 -3.750000000000000000e-01 2.547691881277401145e-19 2.000000000000000000e+00
1.000000000000000000e+00 1.148153621496879350e+20 9.245086349317792329e-02 -2.620638535183084095e-01 9.606119791666666297e-01 3.290965424545643487e-32 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000164e+20 -8.404844774404746088e-01 4.426393488853113123e-01 -3.125000000000000000e-01 9.957186368917193861e-25 2.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.453705777678405253e-01 4.720684126739128073e-01 -2.500000000000000000e-01 1.199486630104808505e-18 2.000000000000000000e+00
1.000000000000000000e+00 6.309573444801943962e+19 -7.976675217656746808e-01 5.189396461221952306e-01 -3.072916666666666297e-01 1.080640495926701040e-16 2.000000000000000000e+00
2.800000000000000000e+01 1.078554185857863936e+18 4.123964684715683560e-01 5.310483430540419159e-01 7.402140299479167407e-01 6.007296950826608584e-02 2.000000000000000000e+00
1.000000000000000000e+00 1.380384264602886636e+20 -5.662714720148093184e-01 8.097857807772068650e-02 -8.202311197916667407e-01 2.226487158685568069e-32 0.000000000000000000e+00
1.000000000000000000e+00 4.570881896148751974e+19 -8.009584883960134682e-01 4.537373791538151790e-01 -3.906250000000000000e-01 2.896324039059378868e-13 2.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.399097396711969754e-01 3.972477217925244886e-01 -3.697916666666666297e-01 2.354723222629276372e-30 4.000000000000000000e+00
