# massnumber, rigidity, px, py, pz, Nparticles, x0, y0, z0
3.000000000000000000e+00 5.045204161454023680e+18 5.344095307226021108e-01 -8.439248709736242304e-01 4.687500000000000000e-02 1.556530302529085313e-04 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 3.630780547701002650e+19 4.849684331451890595e-01 -8.439717161976396653e-01 2.291666666666666574e-01 2.396642632006885061e-22 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 7.943282347242789274e+19 5.569569711856958705e-01 -8.012161816561469418e-01 2.187500000000000000e-01 9.784445190197764615e-45 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 1.258925411794171331e+20 5.499740665020812491e-01 -8.016214103616271514e-01 2.343750000000000000e-01 1.376152192907986656e-70 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.000000000000000000e+00 4.148967268593890816e+18 4.090337232918908605e-01 -9.076906690662699395e-01 9.375000000000000000e-02 5.181732484069161582e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 5.248074602497712128e+19 5.611819262932583596e-01 -7.968171123490908059e-01 2.239583333333333148e-01 3.744592654912538345e-31 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.000000000000000000e+00 9.527303589816260608e+18 6.390658300601974595e-01 -7.051004867724124381e-01 3.072916666666666297e-01 5.463556486784217407e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 1.196575230806595174e+19 2.160145562967935307e-01 -7.332706111142908711e-02 -9.736328125000000000e-01 1.526667379226721676e-08 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
3.000000000000000000e+00 2.008531953581197722e+19 1.694939077663172866e-01 -5.402256733917097653e-02 -9.840494791666666297e-01 9.129698494935758463e-13 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 1.819700858609990246e+19 5.605240954175542134e-01 -7.557792524189110850e-01 3.385416666666666297e-01 5.768009436881923068e-11 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.000000000000000000e+00 7.227198853729639629e+19 5.470828783017586128e-01 -8.079905703466242484e-01 2.187500000000000000e-01 2.063666822830634154e-40 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 1.445439770745927885e+19 6.319634342859583587e-01 -6.091153612256490213e-01 4.791666666666666297e-01 2.375554724120243873e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 1.584893192461110886e+19 6.048848876141758035e-01 -7.279004733649200309e-01 3.229166666666666297e-01 4.249147716373356607e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 5.792669429164563456e+18 4.903536077325701403e-01 -8.533433262405046849e-01 1.770833333333333148e-01 4.951846059050778680e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 2.630267991895370547e+19 5.716618262675648987e-01 -8.116974269921366503e-01 -1.197916666666666574e-01 1.639483518489534053e-08 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
4.000000000000000000e+00 3.450960661507216384e+18 5.111480159714424376e-01 -8.410524352405227555e-01 1.770833333333333148e-01 3.603322931277343384e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.000000000000000000e+00 4.148967268593890816e+18 6.624648617532780115e-01 -6.543846728016831094e-01 3.645833333333333148e-01 4.480761293650277477e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 7.905694150420947968e+18 2.585970860711160890e-01 -1.017456267218763977e-01 -9.606119791666666297e-01 8.369226430729096957e-06 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.000000000000000000e+00 3.783903121090518016e+18 4.089987233459129179e-01 -7.766075906511402671e-01 4.791666666666666297e-01 7.269077388716166117e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 5.531956358125188096e+18 5.065891376303703897e-01 -8.570754827522004682e-01 -9.375000000000000000e-02 6.838315183895299029e-05 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
4.000000000000000000e+00 9.076951369252506624e+18 6.335950718468225107e-01 -7.077436223177286934e-01 3.125000000000000000e-01 1.639395905419451348e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 9.613438343755372544e+18 4.883721505448236355e-01 -8.498950733048049599e-01 1.979166666666666574e-01 1.301942664976614747e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 7.943282347242789274e+19 3.779863772440379688e-02 2.375045822039111715e-02 -9.990030924479166297e-01 2.252908854212116292e-44 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
2.000000000000000000e+00 3.622179800374945382e+19 5.543086946427680517e-02 1.485265670870794703e-02 -9.983520507812500000e-01 8.743961396700748774e-22 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 8.709635899560832205e+19 5.638982184198764180e-01 -7.903281759192052336e-01 2.395833333333333148e-01 1.211637147928364573e-49 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.000000000000000000e+00 3.613599426864819712e+18 4.008046660857310095e-01 -7.962621138914657282e-01 4.531250000000000000e-01 3.105033613811137867e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 5.495408738576225894e+19 6.994580865311712803e-02 5.002622967492457648e-03 -9.975382486979166297e-01 1.580776603260933298e-16 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
3.000000000000000000e+00 1.327023901844995277e+19 2.325191897192927515e-01 -8.286671650218928320e-02 -9.690551757812500000e-01 8.046683413739576700e-09 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 1.445439770745927885e+19 6.071156607694195850e-01 -7.305849193957612009e-01 3.125000000000000000e-01 1.923544205496354484e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.400000000000000000e+01 1.794204593935408640e+18 3.721183717679544811e-01 -8.535847412227575148e-01 3.645833333333333148e-01 8.407583434950863244e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 1.196575230806595174e+19 4.639242281664121004e-01 -8.809002486208065141e-01 -9.375000000000000000e-02 2.270789054755784976e-08 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.000000000000000000e+00 1.044648065427020349e+20 4.988748567602223349e-03 3.149771882503148157e-02 -9.994913736979166297e-01 5.601272211203070197e-60 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 2.398832919019484774e+19 6.376221118070465321e-01 -6.376221118070466432e-01 4.322916666666666297e-01 2.426110610688921714e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 8.372954771698573312e+18 5.789030273861768272e-01 -7.417956759200439176e-01 3.385416666666666297e-01 2.364385191179566680e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 7.549879301005047808e+18 6.283156659144191192e-01 -6.360739608636265530e-01 4.479166666666666297e-01 1.156714820799467230e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.000000000000000000e+00 8.297934537187781837e+19 6.591643613002554636e-01 -7.454593168346045351e-01 -9.895833333333332871e-02 5.284969030694370793e-48 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 1.258925411794171331e+20 6.144840138674162455e-01 -6.144840138674164676e-01 4.947916666666666297e-01 3.858027450184355926e-71 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 5.754399373371590246e+19 5.371263967486773483e-01 -8.146432786292306938e-01 2.187500000000000000e-01 2.845680760505025649e-32 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.000000000000000000e+00 5.223240327135101952e+18 7.086185594229996720e-01 -6.914364371482548677e-01 1.406250000000000000e-01 1.214122319914005458e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 4.549252146524975616e+18 6.167230613562612040e-01 -7.514792245740139487e-01 2.343750000000000000e-01 2.657054919073715302e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 9.613438343755372954e+19 6.374231191350847592e-01 -7.670560128923583632e-01 -7.291666666666665741e-02 1.630670187246515652e-54 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
4.000000000000000000e+00 5.223240327135101952e+18 4.223645052550321632e-01 -1.933735683402510175e-01 -8.855590820312500000e-01 2.266848526949337048e-04 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.000000000000000000e+00 5.223240327135101952e+18 7.051004867724111058e-01 -6.390658300601990138e-01 3.072916666666666297e-01 1.284861648365981227e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.000000000000000000e+00 1.815390273850501325e+19 1.145213554771058739e-01 5.000110363291334833e-03 -9.934082031250000000e-01 1.074589347743603434e-11 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.000000000000000000e+00 6.279716078773929984e+18 4.223645052550321632e-01 -1.933735683402510175e-01 -8.855590820312500000e-01 1.268558047432504084e-04 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 3.981071705534985830e+19 5.555906713975542477e-01 -7.992506770375010783e-01 2.291666666666666574e-01 1.706869773989248015e-23 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.000000000000000000e+00 9.952679263837464576e+18 6.071156607694195850e-01 -7.305849193957612009e-01 3.125000000000000000e-01 2.108845747086047501e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 5.248074602497712128e+19 5.358087443624962587e-01 -8.126448353084969600e-01 2.291666666666666574e-01 3.414290331959055081e-29 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 3.019951720402019123e+19 5.028642751660974408e-01 -8.274222143269273078e-01 2.500000000000000000e-01 6.912104357528659915e-10 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 3.981071705534985830e+19 1.328152638261572427e-01 -1.496468623890215809e-02 -9.910278320312500000e-01 5.345384468453774772e-13 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.000000000000000000e+00 5.997082297548711936e+18 5.754744285835371453e-01 -7.468052429752621846e-01 3.333333333333333148e-01 3.283719720673845301e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 5.223240327135101952e+18 6.367644721788473516e-01 -7.025613296370284422e-01 3.177083333333333148e-01 6.024847116675647500e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 2.387481465053592371e+19 9.544264928656391589e-02 5.001937297998951606e-03 -9.954223632812500000e-01 4.259189454402559144e-15 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 1.096478196143182807e+20 6.176738527332824580e-01 -6.026968985984405558e-01 5.052083333333332593e-01 6.542539069138714357e-67 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.000000000000000000e+00 3.303467240037982618e+19 5.470828783017586128e-01 -8.079905703466242484e-01 2.187500000000000000e-01 6.775895578379715368e-20 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 3.630780547701002650e+19 1.377651890239851296e-01 -2.485557479277769946e-02 -9.901529947916666297e-01 1.413752508208827799e-20 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.000000000000000000e+00 4.988155787422206976e+18 5.401421657568773460e-01 -8.415093189187067280e-01 -1.041666666666666609e-02 8.180638097695079082e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.000000000000000000e+00 3.183308620071456358e+19 5.371263967486773483e-01 -8.146432786292306938e-01 2.187500000000000000e-01 1.834685431288910435e-19 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 2.511886431509571994e+19 6.397329283227173313e-01 -6.319300043672883005e-01 4.375000000000000000e-01 8.805110124850939618e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 6.885571758345436160e+18 6.404124627183066520e-01 -6.893920637239951965e-01 3.385416666666666297e-01 4.550598883490483291e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
