# rigidity, px, py, pz, Nparticles, x0, y0, z0
8.317637711026742272e+18 5.490391546520804189e-01 -2.531105171624459249e-01 -7.965494791666667407e-01 1.788212706459843829e-06 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.905460717963252122e+19 4.960451115288863067e-01 -8.511158744279739841e-01 -1.718750000000000000e-01 1.086486739706839642e-11 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.373852184644056474e+19 6.030636127066490992e-01 -6.491867237498727405e-01 4.635416666666666297e-01 2.879197048201628320e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
5.572584308269147136e+18 4.312670044846137474e-01 -8.836167263620335888e-01 1.822916666666666574e-01 4.999240804963847650e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
5.469404059873880064e+18 4.310643196046937686e-01 -2.021993892485688671e-01 -8.793741861979166297e-01 9.228517519831930043e-05 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.148153621496879350e+20 6.203379362948868714e-01 -6.127715761322675148e-01 4.895833333333333148e-01 1.104034763224645406e-65 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
9.504734908014069760e+18 2.585970860711160890e-01 -1.017456267218763977e-01 -9.606119791666666297e-01 5.556172483431649343e-07 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.148153621496879309e+19 5.789030273861768272e-01 -7.417956759200439176e-01 3.385416666666666297e-01 4.939128541309063316e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.005661086543544832e+18 8.581589400905599296e-01 -4.188418172981859255e-01 -2.968750000000000000e-01 6.419967694665172989e-03 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.763651794908130304e+18 4.575494320537374926e-01 -7.741074003181356300e-01 4.375000000000000000e-01 4.318090243639768314e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
9.952679263837464576e+18 6.319043397338142132e-01 -6.971989998243884878e-01 3.385416666666666297e-01 2.223905430327491848e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
5.792669429164563456e+18 6.462059359253784496e-01 -6.704452859334318893e-01 3.645833333333333148e-01 6.451442253532999331e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.019951720402019123e+19 1.760811404710072026e-01 -5.406524774523129018e-02 -9.828898111979166297e-01 2.859959527305647482e-18 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.549252146524975616e+18 4.680022331863079033e-01 -8.755705947151555257e-01 -1.197916666666666574e-01 2.898882549979134369e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.506838174858531328e+18 5.548741927826430498e-01 -7.200718846564551079e-01 4.166666666666666297e-01 2.620139096857575082e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.148967268593890816e+18 4.993292278757452962e-01 -2.790900075501101529e-01 -8.202311197916667407e-01 1.026370071727966855e-03 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
3.295641846391025664e+18 5.067677755904631542e-01 -8.112440922303529867e-01 2.916666666666666297e-01 3.227014907819993495e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.292538746498506752e+18 4.037599826403935332e-01 -8.815071845134245798e-01 2.447916666666666574e-01 8.362486511396333350e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.290867652767770214e+19 6.444773230807099296e-01 -6.444773230807101516e-01 4.114583333333333148e-01 1.024993998890009339e-13 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.943282347242789274e+19 6.127715761322671817e-01 -6.203379362948870934e-01 4.895833333333333148e-01 3.172629153668289249e-46 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.202264434617418056e+20 5.611819262932583596e-01 -7.968171123490908059e-01 2.239583333333333148e-01 3.735697667461328575e-68 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
9.549925860214368256e+18 5.019988608892129722e-01 -7.716276647716386883e-01 3.906250000000000000e-01 4.373669498963719829e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.096478196143182807e+20 6.219784084534339952e-01 -6.068970802491600036e-01 4.947916666666666297e-01 2.859789666139651792e-63 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.162277660168379187e+19 5.616580051316609756e-01 -8.186514776562401341e-01 -1.197916666666666574e-01 3.336267561431819434e-10 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
4.148967268593890816e+18 5.019988608892129722e-01 -7.716276647716386883e-01 3.906250000000000000e-01 9.914197602079385940e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
6.885571758345436160e+18 4.807309409501903663e-01 -8.608832584243736319e-01 1.666666666666666574e-01 1.240842462297552130e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.311311214825907814e+19 1.391873555153194386e-01 -1.496418957865055036e-02 -9.901529947916666297e-01 1.924608728760154333e-19 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
3.801893963205627904e+19 1.328152638261572427e-01 -1.496468623890215809e-02 -9.910278320312500000e-01 2.665721448993234356e-22 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
9.120108393559115776e+18 5.756129108432108676e-01 -8.173075360400320344e-01 -2.604166666666666435e-02 2.713865697922865209e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.183308620071456358e+19 8.907488889637854568e-02 5.002338461766964346e-03 -9.960123697916666297e-01 3.636706385968394288e-19 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.258925411794171290e+19 6.329374515872594475e-01 -7.712365162357445181e-01 6.770833333333332871e-02 4.974993651061927860e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.311311214825907814e+19 1.081658951991099210e-01 5.000811139301707293e-03 -9.941202799479166297e-01 1.924608728760154333e-19 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.549252146524975616e+18 5.189767538955655235e-01 -7.871162670183551313e-01 3.333333333333333148e-01 3.213672564569363364e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
6.279716078773929984e+18 5.078353612542945150e-01 -8.591839127100321383e-01 -6.250000000000000000e-02 3.547815430433470558e-05 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
4.344502071873422848e+18 4.333250143244906649e-01 -7.759896826093988231e-01 4.583333333333333148e-01 4.189418570213727456e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.210078757816528896e+18 6.679151625198223030e-01 -6.517199897587302448e-01 3.593750000000000000e-01 1.804286926879209395e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.168693834703363277e+19 6.207649644343615769e-01 -6.284300250869668814e-01 4.687500000000000000e-01 4.986892303001052558e-24 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
